text,label
Examine the shared materials carefully ; the questions came in unannounced and could be unauthorized.,Credit reporting or other personal consumer reports
"THIS ACCOUNT IS NOT MINE AND HAS BEEN INCORRECTLY PLACED ON MY CREDIT REPORT. I HAVE NEVER INITIATED, HELD, OR PERMITTED THIS ACCOUNT AND HAVE NO INVOLVEMENT WITH IT WHATSOEVER. ITS INCLUSION ON MY REPORT IS ERRONEOUS, DECEPTIVE, AND DOES NOT ACCURATELY REPRESENT MY CREDIT PROFILE. I AM FORMALLY CHALLENGING THIS ENTRY AND REQUEST A COMPREHENSIVE REVIEW AND PROPER AUTHENTICATION. IF YOU ARE UNABLE TO PROVIDE VALID AND COMPLETE EVIDENCE CONNECTING THIS ACCOUNT TO ME, IT MUST BE DELETED FROM MY CREDIT REPORT WITHOUT DELAY.",Credit reporting or other personal consumer reports
"Called company and set up payment arrangement to pay off debt. Debt was paid on XX/XX/year>. I was told the account would be removed from credit report, but this is not what happened. Account was updated instead of removed as agreed.",Debt collection
"Freedom Debt Relief consumer. 

Program started in XXXX. 

My request and report began in XX/XX/XXXX As I am nearing to the end of my program, my debt numbers were not right. One of my accounts that I added to my enrolled debt with the company this account is now in collections. I asked why? They did not know. They said an account with a XXXX balance was associated with this bank. This was not my debt. The debt I was talking about that was in collections was XXXX or XXXX XXXX dollars. Increasing now due to interest. AND in collections. 

They were confused and could not give me a definitive answer. I was speaking with customer service. I was told to verify the account in collections call back a week later for it to be resolved. They told ME to call collections. They told ME to contact the bank. I hung up in disbelief. 

Why? I have paid them a service & I have to fix THEIR mistakes. I still dont have an answer and I called a week later. Customer service still confused. Said they would report to manager. I have still heard nothing. 

I am trusting Freedom Debt Relief with my debt and they messed up to the point I feel like of no return. I am considering an attorney. I have no idea how much in fees I have paid to this company based on an account that is NOT mine. I do not trust their word. This is not my debt that is enrolled to my account and I have no account associated with it. All customer service could respond with was, This is weird. 

So, I told them I am not paying them until this issue gets resolved. I keep getting notifications how a funds delay could hurt my chances at settlement. I am not at fault here. 

Today is XX/XX/XXXX.",Debt or credit management
"I have contacted XXXX  XXXX XXXX and Transunion on numerous occasions since XXXX of XXXX  concerning the fraudulent attempt to obtain credit in my name to no avail. 

XXXX  XXXX XXXX acknowledged the reported fraud but did nothing to assist with having the related inquiry removed from my report. 

Transunion is demanding that I receive a letter from XXXX  XXXX XXXX supporting my claim which I have done several times to no avail. 

Transunion is refusing to investigate my claim in accordance with FCRA. 

Fraudulent inquiries XXXX  XXXX XXXX - XX/XX/2022 XXXX  XXXX XXXX XXXX XXXX, XXXX",Credit reporting or other personal consumer reports
"On or around XX/XX/year>, I opened an online account with the "" B9 '' XXXX app, which has a {$5.00} monthly fee for basic plan. Customers who receive direct deposit ( s ) totalling $ XXXX are exempt from the fee. On XX/XX/XXXX, I was charged a {$5.00} monthly fee indicating it covers the period XX/XX/XXXX- XX/XX/year>. 

On XX/XX/year>, I received a direct deposit of {$5000.00} from my employer. 

When I contacted customer support asking for a refund of the {$5.00}, they informed me that this would only exempt my next month 's fee, giving me no option to refund the current month 's fee, despite my qualifying deposit falling within the coverage range, and a promise of a refund from the website 's automatic chat reply ( "" you can avoid the monthly fee entirely by depositing {$5000.00} or more within a month. Once you qualify, the fee ( both Basic or Premium ) is refunded to your Rewards account. '' ) See attached screenshot of our conversation.","Payday loan, title loan, personal loan, or advance loan"
"They provided the escrow analysis and the property tax amounts that they stated were for this escrow year were grossly incorrect. I went directly to the township and sent over the previous years as well as the current year to mortgage company- clearly showing that the amount they are charging us is incorrect. They continue to charge us over {$800.00} a month more per month. They also dont allow us to pay less while they get issue corrected which is putting us in significant financial hardship. Additionally we were never notified that they purchased the mortgage from original mortgage servicer so there was mass confusion in payments initially as well. So as of today, I have 4 documented inquiries to them asking for a status of correction and payment overage status and they continue to only respond with resolved in messaging and telling me its being looked at. This is horrible what they are doing and how they are dragging their feet with correcting this for nearly 3 months. Our next mortgage payment is due and it is still XXXX more than it should be and they wont even tell us where this extra money is going once it finally gets corrected. Also please note that there is over a {$5000.00} difference in the tax amounts so they do a standard response back of the fact that it has to be a difference in excess of what they warrant enough to do a new escrow analysis which is {$1000.00} difference and this is well above that threshold but still wont do a new analysis. This is absolute robbery and I am reaching out in desperation for help to get this resolved and investigate the process in which we are with them as our mortgage servicer in the first place.",Mortgage
"I am filing a complaint against BMW Financial Services regarding their refusal to refund an insurance overpayment related to my leased vehicle that was declared a total loss. 

My leased BMW vehicle was recently totaled in an accident. My auto insurance company issued a payment directly to BMW Financial Services to satisfy the lease payoff balance. The insurance payment exceeded the total payoff amount owed on the lease. The confirmed overpayment amount is approximately {$5600.00}. 

BMW Financial Services has acknowledged receipt of the insurance funds and the existence of the overpayment. However, they have refused to issue a refund to me and instead stated that the funds can only be applied toward leasing or purchasing another BMW vehicle. 

Additionally, I currently have another active BMW account. I requested that the overpayment be credited toward my existing BMW Financial Services account, but they also refused to apply the funds to that account. BMW Financial Services has only offered to apply the overpayment toward the lease or purchase of a new vehicle, which I do not wish to pursue. 

I do not wish to lease or purchase another vehicle from BMW, and I believe BMW Financial Services is improperly withholding funds that belong to me. To my understanding, once the lease payoff has been satisfied, any remaining insurance proceeds should be refunded to the consumer unless specifically prohibited by contract. BMW Financial Services has not provided clear contractual language justifying their refusal to refund the surplus funds or apply it to my existing BMW account. 

I am requesting that BMW Financial Services : XXXX. Provide a full accounting of the insurance payment, payoff balance, and overpayment amount. 
XXXX. Issue a refund check for the overpayment of approximately {$5600.00}. 
XXXX. Provide written clarification of any contractual provision they believe allows them to retain these funds or refuse to apply them to my existing account. 

I have attempted to resolve this matter directly with BMW Financial Services but have not been provided with a satisfactory resolution. 

I respectfully request CFPB assistance in resolving this matter and ensuring that the overpayment is returned to me promptly.",Vehicle loan or lease
"I have XXXX Venmo accounts. XXXX Account is XXXX XXXX  and the other XXXX XXXX XXXX XXXX XXXXXXXX is my original account. I started XXXX XXXXXXXX XXXX XXXX lost access to XXXX XXXXXXXX. I regained access to XXXX XXXXXXXX and continued using it to transfer money, never using XXXX XXXXXXXX XXXX XXXX I haven't used venmo in a while at all until recently when a customer requested that he pay me for my job via Venmo. The job was worth {$3700.00}, but I agreed to a payment plan with the first installment being {$1500.00}. Because I haven't use venmo in so long, I could no longer access XXXX XXXX  but had access to XXXX XXXXXXXX XXXX so I had the {$1500.00} deposited in that Venmo account. The money was transferred on XX/XX/year> and I was able to withdraw a portion of the money. I withdrew {$150.00} and had a {$100.00} balance that was paid, so the remaining balance was {$1200.00}. On XX/XX/year> I tried to access account XXXX XXXXXXXX to transfer the funds from XXXX XXXX to it. Venmo mentioned that I needed to verify my phone number to access the account, so I did. XXXX was connected to XXXX XXXXXXXX which has the {$1200.00} but I somehow could use the same number to verify the XXXX XXXX  account that had a 0 balance. Once I got back into the XXXX XXXX  account, I could not longer access the {$1200.00} from the XXXX XXXXXXXX account XXXX I called Venmo with the complaint and I was told to cancel the XXXX XXXX account to release the phone number so I could access XXXX XXXXXXXX XXXX XXXX with the XXXX number. It was successful but Venmo flagged my account ( XXXX XXXXXXXX XXXX for a security breach once back in, and they refuse to release my funds regardless of proof of identity. {$1200.00} now sits in XXXX XXXXXXXX Venmo account and I have 0 access to the account. Venmo hasn't provided me with any information on when I will be available to access the funds again.","Money transfer, virtual currency, or money service"
Got the car by a credit and co signer in XXXX and car has got repossessed in XXXX due to my incarceration from XXXX XXXX to XX/XX/XXXX I was told after coming out of incarceration that car was auctioned off by the company never stated to me that they were the ones who had possession of the vehicle it was stated that the car would be charged off instead of us coming to an agreement of resolving the issue of making payments due to the fact that the car wasn't towed from my living property in was repossessed from a towing company named XXXX XXXX in XXXX XXXX Florida whiles I was still incarcerated now my credit is completely ruined and the co signer didn't respond to any of the notice because of change addresses and I now longer at the address myself I called after my incarceration and wasn't given an option to make payments to resolve the issue because the tow truck company sent me a letter giving me a payment of XXXX dollars for storage cost but during the call I was told the car was auctioned off by the towing company but not by Santander consumers who additional was the owners of the car the lease it from they never spoke to me stating that they were the ones who possessed the car them selfs and resold for the debt pay off,Vehicle loan or lease
